Date,CO2,Temp
1975.789,328.35,13.518475
1975.874,329.5,12.494851
1975.9562,330.77,11.842276
1976.041,331.76,11.7101965
1976.1257,332.58,11.832213
1976.2049,333.5,12.395815
1976.2896,334.59,13.539801
1976.3716,334.89,14.385301
1976.4563,334.34,15.2395525
1976.5383,333.06,15.572607
1976.623,330.95,15.358251
1976.7077,329.31,14.749082
1976.7896,328.95,13.386527
1976.8743,330.32,12.550575
1976.9563,331.69,11.9989195
1977.0411,332.94,11.904224
1977.126,333.43,12.143403
1977.2027,334.71,12.831951
1977.2877,336.08,13.85261
1977.3699,336.76,14.84667
1977.4548,336.28,15.594654
1977.537,334.93,15.789375
1977.6219,332.76,15.644886
1977.7068,331.6,14.800845
1977.789,331.17,13.730057
1977.874,332.41,12.887074
1977.9562,333.86,12.123863
1978.0411,334.98,11.886343
1978.126,335.4,12.145944
1978.2027,336.65,12.836083
1978.2877,337.76,13.80994
1978.3699,338.02,14.769805
1978.4548,337.91,15.35717
1978.537,336.55,15.741158
1978.6219,334.69,15.389572
1978.7068,332.77,14.7615385
1978.789,332.56,13.750789
1978.874,333.93,12.843306
1978.9562,334.96,12.150765
1979.0411,336.24,12.020022
1979.126,336.77,12.041664
1979.2027,337.97,12.922516
1979.2877,338.89,13.8530855
1979.3699,339.48,14.814796
1979.4548,339.3,15.550994
1979.537,337.74,15.73191
1979.6219,336.1,15.7022
1979.7068,333.93,15.069906
1979.789,333.87,14.0817995
1979.874,335.3,12.985964
1979.9562,336.74,12.533269
1980.041,338.03,12.142542
1980.1257,338.37,12.48092
1980.2049,340.09,13.132188
1980.2896,340.78,14.177514
1980.3716,341.48,15.170274
1980.4563,341.19,15.72903
1980.5383,339.57,16.020075
1980.623,337.61,15.827236
1980.7077,335.9,15.078478
1980.7896,336.03,13.990675
1980.8743,337.12,12.940949
1980.9563,338.23,12.19295
1981.0411,339.25,12.26801
1981.126,340.5,12.479772
1981.2027,341.4,13.245338
1981.2877,342.52,14.148394
1981.3699,342.93,15.031605
1981.4548,342.27,15.733463
1981.537,340.5,15.987887
1981.6219,338.45,15.875435
1981.7068,336.71,15.110228
1981.789,336.88,14.027539
1981.874,338.38,12.945269
1981.9562,339.63,12.430673
1982.0411,340.77,11.864876
1982.126,341.63,12.241295
1982.2027,342.72,12.771743
1982.2877,343.59,13.823871
1982.3699,344.16,14.889548
1982.4548,343.37,15.562675
1982.537,342.07,15.891441
1982.6219,339.83,15.657794
1982.7068,338,14.980728
1982.789,337.88,13.926378
1982.874,339.28,12.849555
1982.9562,340.51,12.432311
